description	ground truth	output
The molecule is a apoptosis and a cholesterol translocation that impacts diabetic heart disease, barth syndrome, and aging. The molecule is a stabilizing cytochrome oxidase, stabilizing mitochondrial structure, proton trap for oxidative phosphorylation that impacts tangier disease and non-alcoholic fatty liver disease.	CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCCC(C)C)COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC
The molecule is a stabilizing mitochondrial structure and a apoptosis that impacts diabetic heart disease, tangier disease, and barth syndrome. The molecule is a cholesterol translocation, proton trap for oxidative phosphorylation, stabilizing cytochrome oxidase that impacts aging and non-alcoholic fatty liver disease.	CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCC(C)C)COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCC(C)C	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCCCCCCCCCCCCCC
The molecule is a energy storage, nutrient, membrane stabilizer that impacts cardiovascular disease, metabolic syndrome, and pancreatitis. The molecule is a member of the thyroxine treatment class and affects both atherosclerosis and cancer. The molecule is a fat storage, a energy source, and a inflammatory, and it impacts obesity.	CCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCC(C)C	CCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCC(C)C
The molecule is a stabilizing cytochrome oxidase and a stabilizing mitochondrial structure that impacts diabetic heart disease, aging, and barth syndrome. The molecule is a cholesterol translocation, apoptosis, proton trap for oxidative phosphorylation that impacts non-alcoholic fatty liver disease and tangier disease.	CCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC(C)C)COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCC)OC(=O)CCCCCCCCC(C)C	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCCCCCCCCCCCCCC
The molecule is a protein kinase inhibitor and pdk1 inhibitor, and it impacts cancer treatment.	Cc1[nH]c(C=C2C(=O)Nc3cc(C=CCNc4ncccc4C(=O)NCc4ccc(F)c(F)c4)ccc32)c(C)c1C(=O)O	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc5)cc4)cc3)cc2)cc1
When heated to decomposition it emits acrid smoke and irritating fumes. The molecule has both a Bitter and unpleasant taste and a Pleasant odor.	COc1ccc(C(C)=O)cc1	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc5)cc4)cc3)cc2)cc1
The molecule is a stabilizing mitochondrial structure, cholesterol translocation, apoptosis that impacts aging and non-alcoholic fatty liver disease. The molecule is a proton trap for oxidative phosphorylation and a stabilizing cytochrome oxidase that impacts diabetic heart disease, tangier disease, and barth syndrome.	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCC
The molecule is a apoptosis and a stabilizing mitochondrial structure that impacts tangier disease, aging, and non-alcoholic fatty liver disease. The molecule is a cholesterol translocation, proton trap for oxidative phosphorylation, stabilizing cytochrome oxidase that impacts diabetic heart disease and barth syndrome.	CCCCCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCCC(C)C	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC
The molecule is a proton trap for oxidative phosphorylation, a membrane stabilizer, and a surfactant, and it impacts non-alcoholic fatty liver disease. The molecule is a cholesterol translocation and a apoptosis, which impacts both diabetic heart disease and barth syndrome, and is characterized as smooth. The molecule is a food additive, a energy storage, and a emulsifier, and it impacts tangier disease. The molecule is a energy source, nutritional supplement, stabilizing cytochrome oxidase, stabilizing mitochondrial structure that impacts aging.	CC(C)CCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCC(C)C)COP(=O)(O)OC[C@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCC(C)C	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC
The molecule is a apoptosis and a cholesterol translocation that impacts barth syndrome, diabetic heart disease, and aging. The molecule is a stabilizing cytochrome oxidase, proton trap for oxidative phosphorylation, stabilizing mitochondrial structure that impacts non-alcoholic fatty liver disease and tangier disease.	CCCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCC(C)C)COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCC(C)C	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC
The molecule is a flavoring agent, savory, meaty, and sulfur.	COc1cc(C(=O)CO)cc(OC)c1O	CCCCC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](N)C(=O)O)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCCCC
The molecule is both a hcv inhibitor and a anti viral.	COc1ccc2c(c1)c(C#N)c(-c1ccc(NS(=O)(=O)C3CC3)cc1)n2C1CCC1	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1
It impacts thyroxine treatment, metabolic syndrome, and pancreatitis. The molecule is a fat storage and a nutrient, impacting both cardiovascular disease and atherosclerosis.	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC)COC(=O)CCCCCCCCCCC/C=C\CCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=CC/C=CC/C=CCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCC
The molecule is anti bacterial.	CC(=O)Nc1ccc([N+](=O)[O-])c(-c2ccncc2)n1	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1
The molecule is a stabilizing mitochondrial structure, stabilizing cytochrome oxidase, proton trap for oxidative phosphorylation that impacts tangier disease and non-alcoholic fatty liver disease. The molecule is a cholesterol translocation and a apoptosis that impacts aging, barth syndrome, and diabetic heart disease.	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@H](COP(=O)(O)OC[C@H](O)COP(=O)(O)OC[C@@H](COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC
It impacts diabetes mellitus type 1, cardiovascular disease, and diabetes mellitus type 2. The molecule is a nutrient that impacts insulin resistance, atherosclerosis, and pick's disease.	CC/C=C\C/C=C\CC(O)/C=C/C=C\C/C=C\CCCC(=O)N[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@H](O)CCCCCCCCCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC
The molecule is anti oxidant.	C=C(C(=CC1C(O)=CC(O)=CC1C)CC1CC(O)C(O)C(O)C1O)c1ccc(O)c(O)c1	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1
The molecule is a member of the thyroxine treatment class and affects both metabolic syndrome and cardiovascular disease. The molecule is a fat storage and a nutrient, impacting both pancreatitis and atherosclerosis.	CCCC/C=C\CCCCCCCC(=O)OC[C@@H](COCCCCCCCCCCCCCCCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\CCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=CCCCCCCCC)OC(=O)CCCCCCCCC/C=CCCCCCCCC
The molecule is a thrombin inhibitor and belongs to the thrombosis treatment class of molecules.	COC(=O)Cc1cn(-c2cc(C)ccn2)cn1	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc5)cc4)cc3)cc2)cc1
The molecule is a apoptosis that impacts tangier disease, barth syndrome, non-alcoholic fatty liver disease, and aging. The molecule is a cholesterol translocation, proton trap for oxidative phosphorylation, stabilizing cytochrome oxidase, stabilizing mitochondrial structure that impacts diabetic heart disease.	CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)COP(=O)(O)OC[C@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCC/C=C\CCCCCC)OC(=O)CCCCCCC/C=C\CCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCC/C=CC/C=CC/C=CCCC)OC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC
The molecule is a anti viral.	CCC(C)(C)C1CC(F)(F)CC1C(N)=O	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1
It impacts cardiovascular disease, stomach cancer, parkinson's disease, and colorectal cancer. It has an effect on breast cancer, and impacts alzheimer's disease, diabetes mellitus, and seizure.	CCCCCCCC/C=C\CCCCCCCC(=O)O[C@@H]1COC(=O)CCC/C=C\C[C@H]2C=CC(=O)[C@H](/C=C/[C@@H](O)CCCCC)[C@@H](O)[C@@H](O)[C@@H](OP(=O)(O)OC1)[C@H](O)[C@@H](O)[C@@H]2O	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)O[C@H]1C(O)C(O)C(O)[C@@H](OP(=O)(O)O)C1O)OC(=O)CCC/C=CC/C=CC/C=CCCCC
The molecule is thyroxine treatment and it impacts both metabolic syndrome and pancreatitis. The molecule is a fat storage and a nutrient, impacting both cardiovascular disease and atherosclerosis.	CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H](COCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=CC/C=CC/C=CCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCC
The molecule is a stabilizing cytochrome oxidase, proton trap for oxidative phosphorylation, cholesterol translocation that impacts barth syndrome and diabetic heart disease. The molecule is a apoptosis and a stabilizing mitochondrial structure that impacts tangier disease, non-alcoholic fatty liver disease, and aging.	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)COP(=O)(O)OC[C@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCC/C=C\CCCCCC)OC(=O)CCCCCCCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCC/C=CC/C=CC/C=CCC)OC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC
The molecule is a cholesterol translocation and a proton trap for oxidative phosphorylation that impacts aging, non-alcoholic fatty liver disease, and barth syndrome. The molecule is a stabilizing cytochrome oxidase, apoptosis, stabilizing mitochondrial structure that impacts tangier disease and diabetic heart disease.	CCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCC(C)CC)COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCCCC(C)CC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCCCCCCCCCCCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCC
The molecule is tumor treatment.	Cc1cccc2c(OC(=O)N(CCOCCO)CCN(C)C(=O)OCc3ccc(NC(=O)CNC(=O)C(NC(=O)OCN4C(=O)C=CC4=O)C(C)C)cc3)cc3c(c12)CCN3C(=O)c1cc2cc(NC(=O)c3ccc(O)cc3)cnc2[nH]1	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1
The molecule is a stabilizing cytochrome oxidase, proton trap for oxidative phosphorylation, apoptosis that impacts barth syndrome and diabetic heart disease. The molecule is a stabilizing mitochondrial structure and a cholesterol translocation that impacts non-alcoholic fatty liver disease, tangier disease, and aging.	CCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OC[C@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCC/C=CC/C=CC/C=CCCC)OC(=O)CCCCCCCCCCCCCCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC
The molecule is a liquid crystal.	CCCCCC1CCC(CCC2CCC(C(CO)COC3CCCCO3)CC2)CC1	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1
The molecule is a stabilizing mitochondrial structure and a stabilizing cytochrome oxidase that impacts barth syndrome, non-alcoholic fatty liver disease, and aging. The molecule is a proton trap for oxidative phosphorylation, cholesterol translocation, apoptosis that impacts tangier disease and diabetic heart disease.	CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCC/C=CC/C=CC/C=CCCC)OC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC
The molecule is a proton trap for oxidative phosphorylation, stabilizing cytochrome oxidase, apoptosis that impacts barth syndrome and non-alcoholic fatty liver disease. The molecule is a cholesterol translocation and a stabilizing mitochondrial structure that impacts diabetic heart disease, aging, and tangier disease.	CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCC)COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCC/C=CC/C=CC/C=CCCC)OC(=O)CCCCCCCCCCCCCCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCC
The molecule is a nutrient that affects both breast cancer and cervical cancer, and also impacts ulcerative colitis and atherosclerosis.	CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC/C=C\CCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC
When heated to decomposition it emits toxic fumes of nitroxides. The molecule has both a Slightly bitter taste and a Odorless or almost odorless.	CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc5)cc4)cc3)cc2)cc1
The molecule is a energy storage and a membrane stabilizer that impacts metabolic syndrome, thyroxine treatment, atherosclerosis, and pancreatitis. The molecule is a nutrient and fat storage, and it impacts obesity. The molecule is a inflammatory and a energy source, with effects on cancer and impacts on cardiovascular disease.	CCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCCCCCCCC(C)C)COC(=O)CCCCCCCCCCCCCC(C)C	CCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCC(C)C
The molecule is a inflammatory, membrane stabilizer, nutrient, fat storage that impacts pancreatitis and metabolic syndrome. The molecule is a energy storage and energy source, and it impacts cardiovascular disease. The molecule is a thyroxine treatment that impacts obesity, atherosclerosis, and cancer.	CCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCCCCCCCCCC(C)C)COC(=O)CCCCCCCCCCCCCCCC(C)C	CCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCC(C)C
The molecule is a orexin type 2 receptor agonist.	COC(=O)N1CCCC(NS(C)(=O)=O)C1Cc1cccc(-c2cccc(OC)c2)c1	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1
The molecule is a cholesterol translocation and a stabilizing mitochondrial structure that impacts diabetic heart disease, non-alcoholic fatty liver disease, and aging. The molecule is a proton trap for oxidative phosphorylation, apoptosis, stabilizing cytochrome oxidase that impacts barth syndrome and tangier disease.	CCCCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCC(C)CC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCC
The molecule is a stabilizing cytochrome oxidase and a emulsifier, impacting both tangier disease and diabetic heart disease. The molecule is a stabilizing mitochondrial structure, nutritional supplement, food additive, proton trap for oxidative phosphorylation that impacts barth syndrome. The molecule is a energy storage, a energy source, and a apoptosis, and it impacts non-alcoholic fatty liver disease. The molecule is a membrane stabilizer, a cholesterol translocation, and a surfactant, it impacts aging and is smooth.	CCC(C)CCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCC(C)C	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC
The molecule is a cancer treatment.	NC(=S)NC(=O)Cc1cccc(-c2cccc(F)c2)c1	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1
The molecule is a nutrient that impacts non-alcoholic fatty liver disease, alzheimer's disease, parkinson's disease, and diabetes mellitus type 2.	CCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCC1OC1C/C=C\C/C=C\C/C=C\CCCCC)COP(=O)(O)OCCN	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCCCC
The molecule is a apoptosis, cholesterol translocation, stabilizing cytochrome oxidase that impacts aging and barth syndrome. The molecule is a stabilizing mitochondrial structure and a proton trap for oxidative phosphorylation that impacts non-alcoholic fatty liver disease, diabetic heart disease, and tangier disease.	CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OC[C@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCC/C=C\CCCCCC)OC(=O)CCCCCCC/C=C\CCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC
